Code,Mushroom (g),PH,Humidity(in),temperature,Humidity(out),weigh(g)
A1,410,7,6.9,25,75,0
A2,560,7.8,2,25,75,0
A3,490,8,5.2,25,75,0
A4,500,7.8,6.3,25,75,60
A5,480,7.8,9.5,25,75,0
A6,590,8,4.2,25,75,0
A7,445,7,6.9,25,75,70
A8,500,7.8,8.2,25,75,90
A9,478,8,6.5,25,75,80
A10,690,8,10,25,75,0
A11,500,7,10,25,75,0
A12,545,7.5,7.8,25,75,80
A13,610,7.2,8,25,75,0
A14,565,7.5,6.1,25,75,0
A15,510,7.8,7.5,25,75,0
A16,430,7.5,5.5,25,75,50
A17,455,6.8,3.8,25,75,20
A18,610,7,10,25,75,0
A19,400,7,6.9,25,75,70
A20,460,7.5,6.1,25,75,0
A21,650,7.1,10,25,75,0
A22,768,7.8,2,25,75,0
A23,510,7.3,9,25,75,0
A24,615,7.2,8,25,75,0
A25,600,7.2,8,25,75,0
A26,480,7.2,8,25,75,0
A27,550,7.8,10,25,75,0
A28,410,7.5,2.8,25,75,0
A29,375,7.2,9,25,75,0
A30,520,7.8,7,25,75,0
A31,430,8,6.1,25,75,0
A32,690,7.5,7.8,25,75,0
A33,510,7.2,10,25,75,0
A34,460,7,10,25,75,0
A35,500,7.3,7,25,75,0
A36,600,7.8,9,25,75,0
A37,670,7,10,25,75,0
A38,470,7.2,4.9,25,75,0
A39,460,7.2,10,25,75,0
A40,540,7.2,9.5,25,75,0
A41,500,7.8,9,25,75,0
A42,470,7.5,7.8,25,75,80
A43,500,7.8,10,25,75,0
A44,425,7.2,7.8,25,75,80
A45,600,7.8,8,25,75,0
A46,570,7.8,7,25,75,0
A47,500,7.8,7,25,75,0
A48,410,7.8,7,25,75,0
A49,500,7.8,9,25,75,0
A50,360,7.8,7,25,75,0
A51,420,7,8,25,75,0
A52,590,8,7,25,75,0
A53,465,7,8.5,25,75,0
A54,360,7.8,5,25,75,0
A55,410,7.5,6.5,25,75,0
A56,440,7.5,6.8,25,75,0
A57,500,7,8.5,25,75,0
A58,510,7.8,8.8,25,75,0
A59,440,7,7,25,75,50
A60,520,7.5,6,25,75,0
A61,415,7.2,9.5,25,75,0
A62,615,7.8,5.5,25,75,0
A63,460,7.8,5.8,25,75,0
A64,540,7.5,8.5,25,75,0
A65,430,7.5,7.8,25,75,0
A66,540,7,10,25,75,0
A67,490,7,6.5,25,75,60
A68,440,7.5,3,25,75,0
A69,560,7.2,7.7,25,75,80
A70,390,7.2,8,25,75,90
A71,500,7,6.5,25,75,60
A72,410,8,6.5,25,75,0
A73,580,7,10,25,75,0
A74,450,7.8,6,25,75,0
A75,570,7.5,6.8,25,75,0
A76,510,7.8,6.8,25,75,0
A77,590,7.5,9,25,75,0
A78,490,7.5,8,25,75,0
A79,540,7.2,10,25,75,0
A80,359,8,4.5,25,75,0
A81,420,7,10,25,75,0
A82,710,8,9,25,75,0
A83,440,7.2,6.5,25,75,60
A84,495,8,7,25,75,0
A85,500,7,10,25,75,0
A86,435,7,7.2,25,75,70
A87,520,7,8,25,75,0
A88,590,8,9.5,25,75,0
A89,420,8,7.2,25,75,0
A90,550,8,8.9,25,75,0
A91,575,7,10,25,75,0
A92,470,7.8,6.8,25,75,0
A93,440,8,6.8,25,75,70
A94,520,7,6.9,25,75,0
A95,475,7.8,7,25,75,0
A96,445,7.8,7,25,75,0
A97,440,7.8,8.5,25,75,0
A98,600,7,7,25,75,50
A99,430,7.8,6.8,25,75,0
A100,740,7.5,10,25,75,0
