Code,Mushroom (g),PH,Humidity(in),temperature,Humidity(out),weigh(g),result
A1,410,7,6.9,25,75,0,No
A2,560,7.2,8,25,75,0,No
A3,490,7.1,8.8,25,75,0,No
A4,500,7.8,6.3,25,75,0,No
A5,480,7.8,9.5,25,75,0,No
A6,590,7.3,7,25,75,0,No
A7,445,7,8.5,25,75,0,No
A8,500,7,6.5,25,75,60,Yes
A9,478,7.2,8.3,25,75,0,No
A10,690,7.1,8.3,25,75,0,No
A11,500,7,10,25,75,0,No
A12,545,7.5,7.8,25,75,0,No
A13,610,7,9.5,25,75,0,No
A14,565,7.5,6.1,25,75,0,No
A15,510,7.8,7.5,25,75,0,No
A16,430,7.5,5.5,25,75,0,No
A17,455,6.8,3.8,25,75,0,No
A18,610,7,10,25,75,0,No
A19,400,7,6.9,25,75,0,No
A20,460,7,7.2,25,75,0,No
A21,650,7.1,10,25,75,0,No
A22,768,7,5,25,75,0,No
A23,510,7.3,9,25,75,0,No
A24,615,7.2,8,25,75,0,No
A25,600,7.2,8,25,75,0,No
A26,480,7,8.5,25,75,100,Yes
A27,550,7,6.5,25,75,60,Yes
A28,410,7.5,2.8,25,75,0,No
A29,375,7.2,9,25,75,0,No
A30,520,7.8,7,25,75,0,No
A31,430,7.2,6.4,25,75,0,No
A32,690,7.5,7.8,25,75,0,No
A33,510,7.2,10,25,75,0,No
A34,460,7,10,25,75,0,No
A35,500,7.3,7,25,75,0,No
A36,600,7.8,9,25,75,0,No
A37,670,7,10,25,75,0,No
A38,470,7.2,4.9,25,75,0,No
A39,460,7.2,6.9,25,75,0,No
A40,540,7.2,9.5,25,75,0,No
A41,500,7.8,9,25,75,0,No
A42,470,7.5,7.8,25,75,0,No
A43,500,7.8,10,25,75,0,No
A44,425,7.2,7.8,25,75,0,No
A45,600,7.8,8,25,75,0,No
A46,570,7.8,7,25,75,0,No
A47,500,7.8,7,25,75,0,No
A48,410,7.8,7,25,75,0,No
A49,500,7,6.7,25,75,0,No
A50,360,7.2,7.8,25,75,0,No
A51,420,7,8,25,75,0,No
A52,590,7,8,25,75,0,No
A53,465,7,8.5,25,75,0,No
A54,360,7.1,6,25,75,50,Yes
A55,410,7.5,6.5,25,75,0,No
A56,440,7.5,6.8,25,75,0,No
A57,500,7,8.5,25,75,0,No
A58,510,7,7.9,25,75,0,No
A59,440,7,7,25,75,0,No
A60,520,7,8,25,75,0,No
A61,415,7.2,9.5,25,75,0,No
A62,615,7.1,7.7,25,75,0,No
A63,460,7.8,5.8,25,75,0,No
A64,540,7.1,7.5,25,75,0,No
A65,430,7.5,7.8,25,75,0,No
A66,540,7,8,25,75,0,No
A67,490,7,6.5,25,75,0,No
A68,440,7.5,3,25,75,0,No
A69,560,7.2,7.7,25,75,0,No
A70,390,7.2,8,25,75,0,No
A71,500,7,6.5,25,75,0,No
A72,410,7,8.3,25,75,100,Yes
A73,580,7.1,9,25,75,0,No
A74,450,7.2,8,25,75,0,No
A75,570,7,6.9,25,75,0,No
A76,510,7.8,6.8,25,75,0,No
A77,590,7.5,9,25,75,0,No
A78,490,7.5,8,25,75,0,No
A79,540,7.2,10,25,75,0,No
A80,359,8,4.5,25,75,0,No
A81,420,7,10,25,75,0,No
A82,710,8,9,25,75,0,No
A83,440,7.2,6.5,25,75,0,No
A84,495,8,7,25,75,0,No
A85,500,7,6.5,25,75,0,No
A86,435,7,7.2,25,75,0,No
A87,520,7.2,7.3,25,75,0,No
A88,590,7.2,8.5,25,75,0,No
A89,420,7,9,25,75,110,Yes
A90,550,7,8.3,25,75,0,No
A91,575,7,10,25,75,0,No
A92,470,7.8,6.8,25,75,0,No
A93,440,8,6.8,25,75,0,No
A94,520,7,6.9,25,75,0,No
A95,475,7.8,7,25,75,0,No
A96,445,7.2,7.5,25,75,0,No
A97,440,7.2,8.3,25,75,100,No
A98,600,7,7,25,75,0,No
A99,430,7.1,7.3,25,75,0,No
A100,740,7,7,25,75,70,Yes
