Code,Mushroom (g),PH,Humidity(in),temperature,Humidity(out),weigh(g),result
A1,800,7,6.9,25,75,70,normal
A2,850,7.2,8,25,75,90,good
A3,840,7.1,8.8,25,75,110,very good
A4,840,7.5,6.3,25,75,60,normal
A5,800,7,9.2,25,75,0,No
A6,840,7.3,7,25,75,110,very good
A7,810,7,6.9,25,75,70,normal
A8,800,7.2,8.2,25,75,90,good
A9,810,7.2,8.3,25,75,100,very good
A10,780,7.1,8.3,25,75,100,very good
A11,810,7,8.2,25,75,90,good
A12,820,7,7.8,25,75,80,good
A13,810,7,9.5,25,75,120,very good
A14,810,7,9.2,25,75,0,No
A15,850,7,7.2,25,75,0,No
A16,760,7.5,5.5,25,75,50,bad
A17,820,6.9,4.4,25,75,90,good
A18,880,7.1,9.2,25,75,120,very good
A19,850,7,6.9,25,75,70,normal
A20,850,7,7.2,25,75,80,good
A21,890,7,7,25,75,70,normal
A22,840,7,5,25,75,30,very bad
A23,840,7,8,25,75,0,No
A24,860,7.2,8,25,75,80,good
A25,830,7,9.8,25,75,0,No
A26,820,7,8.5,25,75,100,very good
A27,880,7,6.5,25,75,60,normal
A28,860,7.2,8.2,25,75,90,good
A29,830,7,9,25,75,0,No
A30,830,7,7.5,25,75,80,good
A31,830,7,6.4,25,75,80,good
A32,870,7,6.7,25,75,130,very good
A33,810,7,8.5,25,75,100,very good
A34,860,7,8.8,25,75,0,No
A35,840,7,9,25,75,0,No
A36,810,7.2,9.2,25,75,110,very good
A37,820,7,10,25,75,0,No
A38,820,7,9,25,75,110,very good
A39,920,7,6.9,25,75,70,normal
A40,830,7,10,25,75,0,No
A41,790,7,7.5,25,75,80,good
A42,980,7,7.8,25,75,80,good
A43,990,7,10,25,75,0,No
A44,930,7.2,7.8,25,75,80,good
A45,830,7,9,25,75,0,No
A46,1030,7,10,25,75,0,No
A47,800,7,8.3,25,75,100,very good
A48,970,7,7,25,75,70,normal
A49,930,7,6.7,25,75,70,normal
A50,970,7,7.8,25,75,90,good
A51,920,7,8,25,75,90,good
A52,930,7,8,25,75,90,good
A53,950,7,10,25,75,0,No
A54,980,7,6,25,75,50,bad
A55,970,7,10,25,75,0,No
A56,940,7,9,25,75,0,No
A57,950,7,9,25,75,0,No
A58,960,7,7.9,25,75,90,good
A59,950,7,7,25,75,50,bad
A60,950,7,8,25,75,90,good
A61,950,7,10,25,75,0,No
A62,950,7.1,7.7,25,75,80,good
A63,950,7,5.8,25,75,50,bad
A64,950,7.1,7.5,25,75,80,good
A65,1020,7,10,25,75,0,No
A66,950,7,8,25,75,90,good
A67,990,7,6.5,25,75,60,normal
A68,1030,7,10,25,75,0,No
A69,950,7,7.7,25,75,80,good
A70,960,7.2,8,25,75,90,good
A71,970,7,6.5,25,75,60,normal
A72,950,7,8.3,25,75,100,very good
A73,950,7,9,25,75,110,very good
A74,960,7,8,25,75,90,good
A75,910,7,6.9,25,75,70,normal
A76,950,7,7.9,25,75,90,good
A77,820,7,7.5,25,75,80,good
A78,810,7.2,8.2,25,75,100,very good
A79,820,7,9.2,25,75,115,very good
A80,850,7,9.5,25,75,0,No
A81,820,7,9,25,75,0,No
A82,830,7,7.8,25,75,70,normal
A83,800,7.2,6.5,25,75,60,normal
A84,830,7,8,25,75,0,No
A85,830,7,6.5,25,75,60,normal
A86,840,7,7.2,25,75,70,normal
A87,820,7,7.3,25,75,70,normal
A88,830,7.2,8.5,25,75,100,very good
A89,840,7,9,25,75,110,very good
A90,890,7,8.3,25,75,100,very good
A91,830,7,9.2,25,75,0,No
A92,870,7,10,25,75,0,No
A93,820,7,8.4,25,75,100,very good
A94,790,7,6.9,25,75,70,normal
A95,800,7,9,25,75,0,No
A96,820,7.5,7.5,25,75,80,good
A97,990,7.2,8.3,25,75,100,very good
A98,800,7,5.7,25,75,50,bad
A99,860,7,7.3,25,75,80,good
A100,960,7,7,25,75,70,normal
A1,800,7,6.9,25,75,70,normal
A2,850,7.2,8,25,75,90,good
A3,840,7.1,8.8,25,75,110,very good
A4,840,7.5,6.3,25,75,60,normal
A5,800,7,9.2,25,75,0,No
A6,840,7.3,7,25,75,110,very good
A7,810,7,6.9,25,75,70,normal
A8,800,7.2,8.2,25,75,90,good
A9,810,7.2,8.3,25,75,100,very good
A10,780,7.1,8.3,25,75,100,very good
A11,810,7,8.2,25,75,90,good
A12,820,7,7.8,25,75,80,good
A13,810,7,9.5,25,75,120,very good
A14,810,7,9.2,25,75,0,No
A15,850,7,7.2,25,75,0,No
A16,760,7.5,5.5,25,75,50,bad
A17,820,6.9,4.4,25,75,90,good
A18,880,7.1,9.2,25,75,120,very good
A19,850,7,6.9,25,75,70,normal
A20,850,7,7.2,25,75,80,good
A21,890,7,7,25,75,70,normal
A22,840,7,5,25,75,30,very bad
A23,840,7,8,25,75,0,No
A24,860,7.2,8,25,75,80,good
A25,830,7,9.8,25,75,0,No
A26,820,7,8.5,25,75,100,very good
A27,880,7,6.5,25,75,60,normal
A28,860,7.2,8.2,25,75,90,good
A29,830,7,9,25,75,0,No
A30,830,7,7.5,25,75,80,good
A31,830,7,6.4,25,75,80,good
A32,870,7,6.7,25,75,130,very good
A33,810,7,8.5,25,75,100,very good
A34,860,7,8.8,25,75,0,No
A35,840,7,9,25,75,0,No
A36,810,7.2,9.2,25,75,110,very good
A37,820,7,10,25,75,0,No
A38,820,7,9,25,75,110,very good
A39,920,7,6.9,25,75,70,normal
A40,830,7,10,25,75,0,No
A41,790,7,7.5,25,75,80,good
A42,980,7,7.8,25,75,80,good
A43,990,7,10,25,75,0,No
A44,930,7.2,7.8,25,75,80,good
A45,830,7,9,25,75,0,No
A46,1030,7,10,25,75,0,No
A47,800,7,8.3,25,75,100,very good
A48,970,7,7,25,75,70,normal
A49,930,7,6.7,25,75,70,normal
A50,970,7,7.8,25,75,90,good
A51,920,7,8,25,75,90,good
A52,930,7,8,25,75,90,good
A53,950,7,10,25,75,0,No
A54,980,7,6,25,75,50,bad
A55,970,7,10,25,75,0,No
A56,940,7,9,25,75,0,No
A57,950,7,9,25,75,0,No
A58,960,7,7.9,25,75,90,good
A59,950,7,7,25,75,50,bad
A60,950,7,8,25,75,90,good
A61,950,7,10,25,75,0,No
A62,950,7.1,7.7,25,75,80,good
A63,950,7,5.8,25,75,50,bad
A64,950,7.1,7.5,25,75,80,good
A65,1020,7,10,25,75,0,No
A66,950,7,8,25,75,90,good
A67,990,7,6.5,25,75,60,normal
A68,1030,7,10,25,75,0,No
A69,950,7,7.7,25,75,80,good
A70,960,7.2,8,25,75,90,good
A71,970,7,6.5,25,75,60,normal
A72,950,7,8.3,25,75,100,very good
A73,950,7,9,25,75,110,very good
A74,960,7,8,25,75,90,good
A75,910,7,6.9,25,75,70,normal
A76,950,7,7.9,25,75,90,good
A77,820,7,7.5,25,75,80,good
A78,810,7.2,8.2,25,75,100,very good
A79,820,7,9.2,25,75,115,very good
A80,850,7,9.5,25,75,0,No
A81,820,7,9,25,75,0,No
A82,830,7,7.8,25,75,70,normal
A83,800,7.2,6.5,25,75,60,normal
A84,830,7,8,25,75,0,No
A85,830,7,6.5,25,75,60,normal
A86,840,7,7.2,25,75,70,normal
A87,820,7,7.3,25,75,70,normal
A88,830,7.2,8.5,25,75,100,very good
A89,840,7,9,25,75,110,very good
A90,890,7,8.3,25,75,100,very good
A91,830,7,9.2,25,75,0,No
A92,870,7,10,25,75,0,No
A93,820,7,8.4,25,75,100,very good
A94,790,7,6.9,25,75,70,normal
A95,800,7,9,25,75,0,No
A96,820,7.5,7.5,25,75,80,good
A97,990,7.2,8.3,25,75,100,very good
A98,800,7,5.7,25,75,50,bad
A99,860,7,7.3,25,75,80,good
A100,960,7,7,25,75,70,normal
