
No,weigh(g),PH,humidity(in),temperature,humidity(out)
A1,410,7.5,8,25,85
A2,560,7.8,2,25,85
A3,490,8,5.2,25,74
A4,500,7.8,5,25,70
A5,480,7.8,9.5,25,55
A6,590,8,4.2,25,67
A7,445,7.5,2,25,73
A8,500,7.8,7.2,25,73
A9,478,8,6.5,25,73
A10,690,8,10,25,73
A11,500,7,10,25,73
A12,545,7.5,10,25,73
A13,610,7.2,8,25,73
A14,565,7.5,6.1,25,73
A15,510,7.8,7.5,25,73
A16,430,7.5,6.8,25,73
A17,455,7.8,4,25,73
A18,610,7,10,25,73
A19,400,7.2,7,25,73
A20,460,7.5,6.1,25,73
A21,650,7.1,10,25,73
A22,768,7.8,2,25,73
A23,510,7.3,9,25,73
A24,615,7.8,6.2,25,73
A25,600,7.2,8,25,73
A26,480,7..2,8,25,73
A27,550,7.8,10,25,73
A28,410,7.5,2.8,25,73
A29,375,7.2,9,25,73
A30,520,7.8,7,25,73
A31,430,8,6.1,25,73
A32,690,7.5,7.8,25,73
A33,510,7.2,10,25,75
A34,460,7,10,25,75
A35,500,7.3,7,25,75
A36,600,7.8,9,25,75
A37,670,7,10,25,75
A38,470,7.2,4.9,25,75
A39,460,7.2,10,25,75
A40,540,7.2,9.5,25,75
A41,500,7.8,9,25,75
A42,470,7.2,9.8,25,75
A43,500,7.8,10,25,75
A44,425,7.8,5.2,25,75
A45,600,7.8,8,25,75
A46,570,7.8,7,25,75
A47,500,7.8,9,25,75
A48,410,8,7,25,75
A49,500,7.8,9,25,75
A50,360,7.8,7,25,75
A51,420,7,8,25,75
A52,590,8,7,25,75
A53,465,7,8.5,25,75
A54,360,7.8,5,25,75
A55,410,7.5,6.5,25,75
A56,440,7.5,6.8,25,75
A57,500,7,8.5,25,75
A58,510,7.8,8.8,25,75
A59,440,7.5,7,25,75
A60,520,7.5,6,25,75
A61,415,7.2,9.5,25,75
A62,615,7.8,5.5,25,75
A63,460,7.5,6.5,25,75
A64,540,7.5,8.5,25,75
A65,430,7.5,7.8,25,75
A66,540,7,10,25,75
A67,490,8,7.2,25,75
A68,440,7.5,3,25,75
A69,560,7.8,7.5,25,75
A70,390,8,8,25,75
A71,500,8,7.2,25,75
A72,410,8,6.5,25,75
A73,580,7,10,25,75
A74,450,7.8,6,24,75
A75,570,7.5,6.8,16,75
A76,510,7.8,6.8,28,75
A77,590,7.5,9,35,75
A78,490,7.5,8,35,75
A79,540,7.2,10,35,75
A80,359,8,4.5,35,75
A81,420,7,10,35,75
A82,710,8,9,35,75
A83,440,7.2,8,35,75
A84,495,8,7,35,75
A85,500,7,10,35,75
A86,435,7.8,7,35,75
A87,520,7,8,35,75
A88,590,8,9.5,35,75
A89,420,8,7.2,35,75
A90,550,8,8.9,35,75
A91,575,7,10,35,75
A92,470,7.8,6.8,35,75
A93,440,8,6.8,35,75
A94,520,8,8.2,22,75
A95,475,7.8,7,22,75
A96,445,7.8,7,22,75
A97,440,7.8,8.5,22,75
A98,600,7.2,10,22,75
A99,430,7.8,6.8,22,75
A100,740,7.5,10,22,75
,,,,,
,,,,,
,,,,,
